task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_condition,donor_label,component,hidden_state_index,decoder_layer_index,common_suffix_tokens,projection_recovery,distance_recovery
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,28,27,114,0.7749497878905034,0.540744291895269
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,21,20,114,0.9753107268170861,0.8425319605335426
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,22,21,114,0.9215946086406691,0.7529343475025765
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,23,22,114,0.8884534604931091,0.7052005333476568
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,24,23,114,0.7907995879607697,0.5635781856433567
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,25,24,114,0.7837173014158538,0.5523685091986783
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,26,25,114,0.781923066588622,0.5476664646968417
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,27,26,114,0.7698292906235908,0.528879216701996
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,residual,28,27,114,0.7832872513215613,0.5355604400364374
2,task_002,canonical_test,canonical,0,canonical_impl,1,attn,21,20,120,0.7260794827673652,0.4160753749785795
2,task_002,canonical_test,canonical,0,canonical_impl,1,attn,22,21,120,0.7456342949629972,0.47408245009380856
2,task_002,canonical_test,canonical,0,canonical_impl,1,attn,23,22,120,0.7712335055140239,0.4756926383258301
2,task_002,canonical_test,canonical,0,canonical_impl,1,attn,24,23,120,0.7647094538088411,0.4862242874417628
2,task_002,canonical_test,canonical,0,canonical_impl,1,attn,25,24,120,0.5930361684506468,0.3420988891637943
2,task_002,canonical_test,canonical,0,canonical_impl,1,attn,26,25,120,0.670568427759806,0.39068554855951276
2,task_002,canonical_test,canonical,0,canonical_impl,1,attn,27,26,120,0.6619446486253316,0.3518038373561875
2,task_002,canonical_test,canonical,0,canonical_impl,1,attn,28,27,120,0.7095825125871149,0.45470631665973027
2,task_002,canonical_test,canonical,0,canonical_impl,1,mlp,21,20,120,0.9539812523093024,0.78153220520472
2,task_002,canonical_test,canonical,0,canonical_impl,1,mlp,22,21,120,0.9299419911695997,0.7378820246537326
2,task_002,canonical_test,canonical,0,canonical_impl,1,mlp,23,22,120,0.9173006460461871,0.6911274595171326
2,task_002,canonical_test,canonical,0,canonical_impl,1,mlp,24,23,120,0.9025482554511578,0.656301016172757
2,task_002,canonical_test,canonical,0,canonical_impl,1,mlp,25,24,120,0.8943983238601981,0.6188169940113547
2,task_002,canonical_test,canonical,0,canonical_impl,1,mlp,26,25,120,0.8855088730149697,0.6049256183783205
2,task_002,canonical_test,canonical,0,canonical_impl,1,mlp,27,26,120,0.9049903902179268,0.5937558391893647
2,task_002,canonical_test,canonical,0,canonical_impl,1,mlp,28,27,120,0.8695349443555688,0.5863233639217074
2,task_002,canonical_test,canonical,0,canonical_impl,1,residual,21,20,120,0.9603609071643919,0.8085552375720025
2,task_002,canonical_test,canonical,0,canonical_impl,1,residual,22,21,120,0.9330451593126204,0.755961122667805
2,task_002,canonical_test,canonical,0,canonical_impl,1,residual,23,22,120,0.9197784683602006,0.722176276529701
2,task_002,canonical_test,canonical,0,canonical_impl,1,residual,24,23,120,0.902121458475032,0.6845219435135522
2,task_002,canonical_test,canonical,0,canonical_impl,1,residual,25,24,120,0.8809280772332196,0.6353745780723776
2,task_002,canonical_test,canonical,0,canonical_impl,1,residual,26,25,120,0.8799132124436908,0.6168503111439959
2,task_002,canonical_test,canonical,0,canonical_impl,1,residual,27,26,120,0.8747799600088169,0.5842035745080043
2,task_002,canonical_test,canonical,0,canonical_impl,1,residual,28,27,120,0.8609000876763999,0.5589444423883012
2,task_002,canonical_impl,canonical,1,canonical_test,0,attn,21,20,120,0.6887340464423565,0.3912404296500266
2,task_002,canonical_impl,canonical,1,canonical_test,0,attn,22,21,120,0.7095166396116315,0.4335166829420798
2,task_002,canonical_impl,canonical,1,canonical_test,0,attn,23,22,120,0.7163624275097733,0.40744047895374247
2,task_002,canonical_impl,canonical,1,canonical_test,0,attn,24,23,120,0.6947004002898983,0.3984598570223624
2,task_002,canonical_impl,canonical,1,canonical_test,0,attn,25,24,120,0.5780670485715024,0.32967150671854895
2,task_002,canonical_impl,canonical,1,canonical_test,0,attn,26,25,120,0.6669379009730153,0.36040886013437523
2,task_002,canonical_impl,canonical,1,canonical_test,0,attn,27,26,120,0.6425795877724999,0.3714440037637712
2,task_002,canonical_impl,canonical,1,canonical_test,0,attn,28,27,120,0.6416853458120699,0.4032259040211934
2,task_002,canonical_impl,canonical,1,canonical_test,0,mlp,21,20,120,0.951246342168567,0.7697515417657821
2,task_002,canonical_impl,canonical,1,canonical_test,0,mlp,22,21,120,0.9202744339055274,0.726731488412834
2,task_002,canonical_impl,canonical,1,canonical_test,0,mlp,23,22,120,0.908921154406776,0.6717617957427471
2,task_002,canonical_impl,canonical,1,canonical_test,0,mlp,24,23,120,0.8503821687893461,0.5844959143819397
2,task_002,canonical_impl,canonical,1,canonical_test,0,mlp,25,24,120,0.858454222619585,0.5912207299369141
2,task_002,canonical_impl,canonical,1,canonical_test,0,mlp,26,25,120,0.8478127134814991,0.5947654485226828
2,task_002,canonical_impl,canonical,1,canonical_test,0,mlp,27,26,120,0.8645792489037548,0.6083787490718395
2,task_002,canonical_impl,canonical,1,canonical_test,0,mlp,28,27,120,0.8562026965339775,0.5903727171779507
2,task_002,canonical_impl,canonical,1,canonical_test,0,residual,21,20,120,0.9586898540101668,0.800435837353086
2,task_002,canonical_impl,canonical,1,canonical_test,0,residual,22,21,120,0.9181083227186599,0.7413531260033133
2,task_002,canonical_impl,canonical,1,canonical_test,0,residual,23,22,120,0.9022130097751069,0.7047485665633728
2,task_002,canonical_impl,canonical,1,canonical_test,0,residual,24,23,120,0.8676418252060201,0.6369294453802952
2,task_002,canonical_impl,canonical,1,canonical_test,0,residual,25,24,120,0.8437593631546919,0.5969235372140005
